Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
0,Blake Griffin,2009,1.00,80.50,82.00,83.25,105.00,35.50,140.50,32.00,137.00,248.00,8.20,8.50,9.50,10.95,3.28
1,Terrence Williams,2009,11.00,77.00,78.25,81.00,103.50,37.00,140.50,30.50,134.00,213.00,5.10,8.50,9.50,11.15,3.18
2,Gerald Henderson,2009,12.00,76.00,77.00,82.25,102.50,35.00,137.50,31.50,134.00,215.00,4.40,8.50,9.50,11.17,3.14
3,Tyler Hansbrough,2009,13.00,80.25,81.50,83.50,106.00,34.00,140.00,27.50,133.50,234.00,8.50,8.50,9.50,11.12,3.27
4,Earl Clark,2009,14.00,80.50,82.25,86.50,109.50,33.00,142.50,28.50,138.00,228.00,5.20,8.50,9.50,11.17,3.35
5,Austin Daye,2009,15.00,81.75,82.75,86.75,110.00,28.00,138.00,25.00,135.00,192.00,5.50,8.50,9.50,12.11,3.55
6,James Johnson,2009,16.00,79.00,79.75,84.75,105.50,35.00,140.50,30.50,136.00,257.00,12.00,8.50,9.50,11.21,3.23
7,Jrue Holiday,2009,17.00,75.25,76.25,79.00,100.50,34.00,134.50,28.50,129.00,199.00,6.30,8.50,9.50,10.64,3.21
8,Ty Lawson,2009,18.00,71.25,72.50,72.75,94.50,36.50,131.00,29.00,123.50,197.00,6.60,8.50,9.50,10.98,3.12
9,Jeff Teague,2009,19.00,72.25,73.50,79.50,98.50,36.50,135.00,30.50,129.00,175.00,4.50,8.50,9.50,11.05,3.18
10,Hasheem Thabeet,2009,2.00,85.25,86.50,90.25,113.00,35.50,138.17,29.58,132.62,267.00,6.70,8.50,9.50,11.33,3.30
11,Eric Maynor,2009,20.00,74.25,75.25,74.50,97.00,31.50,128.50,28.50,125.50,164.00,5.40,8.50,9.50,10.78,3.19
12,Darren Collison,2009,21.00,72.25,73.50,75.00,96.50,33.50,130.00,30.50,127.00,166.00,5.70,8.50,9.50,10.45,3.10
13,Omri Casspi,2009,23.00,79.75,81.25,81.25,106.50,32.50,139.00,25.50,132.00,211.00,8.60,8.50,9.50,11.15,3.28
14,Byron Mullens,2009,24.00,83.75,85.25,85.50,111.00,32.50,143.50,28.50,139.50,258.00,8.50,8.50,9.50,11.10,3.45
15,Damion James,2009,24.00,78.25,79.50,84.75,106.00,37.00,143.00,30.00,136.00,224.00,8.20,9.25,8.50,11.23,3.09
16,Rodrigue Beaubois,2009,25.00,73.25,74.25,81.75,100.00,39.00,139.00,29.50,129.50,182.00,7.90,8.50,9.50,10.49,3.15
17,Taj Gibson,2009,26.00,80.50,81.75,88.00,109.00,30.00,139.00,25.50,134.50,214.00,6.60,8.50,9.50,11.56,3.41
18,DeMarre Carroll,2009,27.00,78.25,79.75,82.00,105.00,35.50,138.17,29.58,132.62,207.00,6.30,8.50,9.50,11.33,3.30
